PLAYER,event_player_1_name,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,CAP HIT,SALARY
331. Charlie Coyle,Charlie.Coyle,27,"C, RW",Right,70,16,21,37,0.53,9,145,0.11,16:47,3200000,"$4,250,000 "
332. Kasperi Kapanen,Kasperi.Kapanen,22,RW,Right,69,13,23,36,0.52,0,121,0.11,15:47,3200000,"$4,400,000 "
333. Darnell Nurse,Darnell.Nurse,24,LD,Left,71,5,28,33,0.46,-2,170,0.03,23:27,3200000,"$3,200,000 "
334. Nikita Zadorov,Nikita.Zadorov,24,LD/RD,Left,64,4,9,13,0.2,6,65,0.06,17:45,3200000,"$3,200,000 "
335. Trevor Daley,Trevor.Daley,35,RD,Left,43,0,7,7,0.16,-22,37,0,15:39,3166666,"$2,200,000 "
336. Patrick Eaves,Patrick.Eaves,35,"RW, LW",Right,0,0,0,0,0,0,0,0,,3150000,"$3,000,000 "
337. Sam Gagner,Sam.Gagner,29,"C, RW",Right,42,6,7,13,0.31,-10,79,0.08,13:20,3150000,"$3,200,000 "
338. Max Domi,Max.Domi,24,"LW, C",Left,71,17,27,44,0.62,-3,179,0.1,17:05,3150000,"$3,150,000 "
339. Joshua Morrissey,Joshua.Morrissey,24,LD,Left,65,5,26,31,0.48,1,120,0.04,22:46,3150000,"$3,150,000 "
340. Derek Ryan,Derek.Ryan,32,"C, RW",Right,68,10,19,29,0.43,9,102,0.1,14:32,3125000,"$3,125,000 "
342. Ryan Strome,Ryan.Strome,25,"C, RW",Right,70,18,41,59,0.84,21,154,0.12,19:35,3100000,"$3,200,000 "
343. Jean-Gabriel Pageau,Jean.Pageau,26,C,Right,67,26,16,42,0.63,4,151,0.17,19:09,3100000,"$3,400,000 "
344. Joel Edmundson,Joel.Edmundson,26,LD,Left,68,7,13,20,0.29,7,97,0.07,18:26,3100000,"$3,100,000 "
345. Phillip Danault,Phillip.Danault,26,C,Left,71,13,34,47,0.66,18,131,0.1,18:50,3083333,"$3,000,000 "
346. Conor Sheary,Conor.Sheary,27,"LW, RW",Left,63,10,13,23,0.37,-5,102,0.1,13:06,3000000,"$3,000,000 "
347. Patrik Nemeth,Patrik.Nemeth,27,LD,Left,64,1,8,9,0.14,-10,89,0.01,22:02,3000000,"$3,200,000 "
348. Valtteri Filppula,Valtteri.Filppula,35,"C, LW",Left,70,6,15,21,0.3,-42,63,0.1,16:36,3000000,"$3,000,000 "
349. Antoine Roussel,Antoine.Roussel,29,LW,Left,41,7,6,13,0.32,0,55,0.13,11:50,3000000,"$3,800,000 "
350. Kevin Fiala,Kevin.Fiala,22,"LW, RW",Left,64,23,31,54,0.84,-1,175,0.13,15:24,3000000,"$2,500,000 "
351. Jay Beagle,Jay.Beagle,33,C,Right,55,2,6,8,0.15,-9,49,0.04,12:33,3000000,"$3,200,000 "
353. Andreas Athanasiou,Andreas.Athanasiou,24,"LW, RW",Left,55,11,15,26,0.47,-46,129,0.09,15:51,3000000,"$3,000,000 "
354. Leo Komarov,Leo.Komarov,32,"RW, LW, C",Left,48,4,10,14,0.29,2,46,0.09,12:35,3000000,"$3,500,000 "
355. Neal Pionk,Neal.Pionk,23,RD,Right,71,6,39,45,0.63,10,177,0.03,23:22,3000000,"$2,850,000 "
356. Chris Tierney,Chris.Tierney,25,C,Left,71,11,26,37,0.52,-6,102,0.11,17:11,2937500,"$2,975,000 "
357. Adam Lowry,Adam.Lowry,26,C,Left,49,4,6,10,0.2,-4,68,0.06,14:57,2916667,"$2,750,000 "
358. Marcus Foligno,Marcus.Foligno,27,"LW, RW",Left,59,11,14,25,0.42,8,86,0.13,14:35,2875000,"$3,500,000 "
359. Colton Sissons,Colton.Sissons,25,"RW, C",Right,57,9,6,15,0.26,-2,52,0.17,14:19,2857143,"$3,450,000 "
360. Brandon Carlo,Brandon.Carlo,22,RD,Right,67,4,15,19,0.28,16,111,0.04,20:28,2850000,"$2,200,000 "
361. Matt Calvert,Matt.Calvert,29,"LW, RW",Left,50,12,13,25,0.5,13,89,0.13,14:05,2850000,"$2,925,000 "
362. Jake McCabe,Jake.McCabe,25,LD/RD,Left,66,3,10,13,0.2,-11,75,0.04,18:31,2850000,"$2,900,000 "
363. Danton Heinen,Danton.Heinen,23,"LW, RW",Left,67,10,16,26,0.39,-2,109,0.09,14:28,2800000,"$2,825,000 "
364. Ryan Reaves,Ryan.Reaves,32,RW,Right,71,8,7,15,0.21,-5,61,0.13,10:08,2775000,"$2,775,000 "
